date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:35	100/100	---MCZ	200	added ('OK')	text/plain	date:Sun,%2011%20May%202025%2019:17:36%20GMT	https://srbooks.odoo.com/robots.txt		(from )
00:47:35	41314/41314	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2019:17:37%20GMT	https://srbooks.odoo.com/	C:/Desktop/ODOO/srbooks.odoo.com/index.html	(from )
00:47:35	24618/24618	---M--	200	added ('OK')	image/webp	etag:%2268203263-602a%22	https://srbooks.odoo.com/web/image/website/1/logo?unique=9d70cf6	C:/Desktop/ODOO/srbooks.odoo.com/web/image/website/1/srbooks72bd.webp	(from https://srbooks.odoo.com/)
00:47:36	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22681e91c5-47e%22	https://srbooks.odoo.com/web/image/website/1/favicon?unique=4d33be4	C:/Desktop/ODOO/srbooks.odoo.com/web/image/website/1/srbooksccc1.ico	(from https://srbooks.odoo.com/)
00:47:36	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2267c08caf-12d68%22	https://srbooks.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Desktop/ODOO/srbooks.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://srbooks.odoo.com/)
00:47:36	721605/721605	---MCZ	200	added ('OK')	text/css	etag:W/%2268206ad5-b02c5%22	https://srbooks.odoo.com/web/assets/1/639e7f0/web.assets_frontend.min.css	C:/Desktop/ODOO/srbooks.odoo.com/web/assets/1/639e7f0/web.assets_frontend.min.css	(from https://srbooks.odoo.com/)
00:47:37	27396/27396	---MCZ	200	added ('OK')	application/javascript	etag:W/%22682027b9-6b04%22	https://srbooks.odoo.com/web/assets/1/16f72aa/web.assets_frontend_minimal.min.js	C:/Desktop/ODOO/srbooks.odoo.com/web/assets/1/16f72aa/web.assets_frontend_minimal.min.js	(from https://srbooks.odoo.com/)
00:47:37	24618/24618	---M--	200	added ('OK')	image/webp	etag:%2268203263-602a%22	https://srbooks.odoo.com/web/image/website/1/logo/srbooks?unique=4d33be4	C:/Desktop/ODOO/srbooks.odoo.com/web/image/website/1/logo/srbooksccc1.webp	(from https://srbooks.odoo.com/)
00:47:37	45046/45046	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2019:17:39%20GMT	https://srbooks.odoo.com/shop	C:/Desktop/ODOO/srbooks.odoo.com/shop.html	(from https://srbooks.odoo.com/)
00:47:37	30202/30202	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2019:17:40%20GMT	https://srbooks.odoo.com/our-services	C:/Desktop/ODOO/srbooks.odoo.com/our-services.html	(from https://srbooks.odoo.com/)
00:47:38	30675/30675	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2019:17:40%20GMT	https://srbooks.odoo.com/about-us	C:/Desktop/ODOO/srbooks.odoo.com/about-us.html	(from https://srbooks.odoo.com/)
00:47:38	36389/36389	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2019:17:40%20GMT	https://srbooks.odoo.com/contactus	C:/Desktop/ODOO/srbooks.odoo.com/contactus.html	(from https://srbooks.odoo.com/)
